city,census,rank,state,estimate,change
Renton,"90,927",304,"Washington
","102,153",+12.35%
Davenport,"99,685",305,"Iowa
","102,085",+2.41%
South Bend,"101,168",306,"Indiana
","101,860",+0.68%
Vista,"93,834",307,"California
","101,224",+7.88%
Tuscaloosa,"90,468",308,"Alabama
","101,113",+11.77%
Clinton,"96,796",309,"Michigan
","100,800",+4.14%
Edison,"99,967",310,"New Jersey
","100,693",+0.73%
Woodbridge,"99,585",311,"New Jersey
","100,450",+0.87%
San Angelo,"93,200",312,"Texas
","100,215",+7.53%
Kenosha,"99,218",313,"Wisconsin
","100,164",+0.95%
Vacaville,"92,428",314,"California
","100,154",+8.36%
