Date,Text,Link
2020-01-13 11:13,Project Architect(s),https://newyork.craigslist.org/que/egr/d/project-architects/7055199575.html
2020-01-13 10:59,Project Coordinator/Manager,https://newyork.craigslist.org/brk/egr/d/brooklyn-project-coordinator-manager/7055188275.html
2020-01-13 10:29,Drafting/Estimating Internship,https://newyork.craigslist.org/que/egr/d/long-island-city-drafting-estimating/7055165570.html
2020-01-12 12:28,MASTER  PLUMBER  - SIGN OFF -  ARCHITECT,https://newyork.craigslist.org/brk/egr/d/brooklyn-master-plumber-sign-off/7054672905.html
2020-01-12 11:03,CAD Drafter,https://newyork.craigslist.org/brk/egr/d/brooklyn-cad-drafter/7054622360.html
2020-01-11 18:06,Architects - Residential Experience,https://newyork.craigslist.org/mnh/egr/d/new-york-architects-residential/7054365796.html
2020-01-10 18:02,Trainee Project Manager at High-End Glass Wall Company,https://newyork.craigslist.org/mnh/egr/d/new-york-trainee-project-manager-at/7053744607.html
2020-01-10 17:55,Facade / Building Envelope Architect,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect/7053739977.html
2020-01-10 17:53,Facade / Building Envelope Project Manager,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-project-manager/7053738995.html
2020-01-10 16:40,Architect - Project Manager,https://newyork.craigslist.org/brk/egr/d/brooklyn-architect-project-manager/7053686621.html
2020-01-10 16:27,Freelance Architect,https://newyork.craigslist.org/fct/egr/d/mamaroneck-freelance-architect/7053676544.html
2020-01-10 16:26,Freelance Architect,https://newyork.craigslist.org/wch/egr/d/mamaroneck-freelance-architect/7053675609.html
2020-01-10 16:01,Millwork Draftsman Position,https://newyork.craigslist.org/brk/egr/d/woodhaven-millwork-draftsman-position/7053656758.html
2020-01-10 14:21,architect/interior designer,https://newyork.craigslist.org/mnh/egr/d/new-york-architect-interior-designer/7053575686.html
2020-01-10 13:35,Junior Architect,https://newyork.craigslist.org/mnh/egr/d/new-york-junior-architect/7053536705.html
2020-01-10 11:58,Intermediate Architect,https://newyork.craigslist.org/mnh/egr/d/new-york-intermediate-architect/7053451893.html
2020-01-10 10:32,◄◄  SKETCHUP PROFESSIONAL AVAILABLE FOR YOUR 3D PROJECT,https://newyork.craigslist.org/que/egr/d/astoria-sketchup-professional-available/7053384342.html
2020-01-09 18:02,Architectural drafter,https://newyork.craigslist.org/brk/egr/d/brooklyn-architectural-drafter/7053089575.html
2020-01-09 16:39,Draftsman,https://newyork.craigslist.org/mnh/egr/d/new-york-draftsman/7053034286.html
2020-01-09 16:12,Architect/Designer,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect-designer/7053015487.html
2020-01-09 15:44,Structural engineer position available. Bilingual Russian preferred.,https://newyork.craigslist.org/brk/egr/d/brooklyn-structural-engineer-position/7052994663.html
2020-01-09 15:41,Junior Construction Architect (Licensed or Unlicensed),https://newyork.craigslist.org/mnh/egr/d/jersey-city-junior-construction/7052992808.html
2020-01-09 14:06,Part-Time / FREELANCE  OPPORTUNITY-for N.Y.I.T. Architecture students+,https://newyork.craigslist.org/mnh/egr/d/part-time-freelance-opportunity-for/7052917796.html
2020-01-09 12:36,Pro Aire Design seeks Full Time HVAC Estimator / Estimating Assistant,https://newyork.craigslist.org/brk/egr/d/brooklyn-pro-aire-design-seeks-full/7052843065.html
2020-01-09 06:52,PART TIME / FREELANCE / INT ARCHITECTURAL DESIGNER - ENTRY LEVEL,https://newyork.craigslist.org/brk/egr/d/brooklyn-part-time-freelance-int/7052653705.html
2020-01-08 13:54,Project Architect -Revit | Multi Family Residential,https://newyork.craigslist.org/mnh/egr/d/new-york-project-architect-revit-multi/7052267808.html
2020-01-08 13:33,Structural Engineer,https://newyork.craigslist.org/que/egr/d/flushing-structural-engineer/7052249864.html
2020-01-08 13:28,Construction Inspector / Special Inspector,https://newyork.craigslist.org/que/egr/d/flushing-construction-inspector-special/7052245997.html
2020-01-08 12:13,Junior/Intermediate Architect - Immediate Hire,https://newyork.craigslist.org/que/egr/d/long-island-city-junior-intermediate/7052181141.html
2020-01-08 11:11,Project Architect(s),https://newyork.craigslist.org/que/egr/d/project-architects/7052133030.html
2020-01-08 10:49,Junior Architect,https://newyork.craigslist.org/wch/egr/d/mamaroneck-junior-architect/7052115955.html
2020-01-08 10:38,Drafter,https://newyork.craigslist.org/que/egr/d/brooklyn-drafter/7052109003.html
2020-01-08 08:53,Estimating Plan Clerk,https://newyork.craigslist.org/que/egr/d/long-island-city-estimating-plan-clerk/7052045811.html
2020-01-07 23:09,AutoCad is a requirement.......,https://newyork.craigslist.org/mnh/egr/d/new-york-autocad-is-requirement/7051948263.html
2020-01-07 17:47,Top Architectural Metal  + Glass Company looking for drafter/engineer!,https://newyork.craigslist.org/que/egr/d/woodside-top-architectural-metal-glass/7051801345.html
2020-01-07 17:03,Interior Designer (Int/Sr),https://newyork.craigslist.org/mnh/egr/d/new-york-interior-designer-int-sr/7051770984.html
2020-01-07 16:50,Architectural Drafter (Mid/Sr),https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-drafter-mid-sr/7051762121.html
2020-01-07 13:23,Senior Mechanical Design Engineer,https://newyork.craigslist.org/brk/egr/d/brooklyn-senior-mechanical-design/7051599379.html
2020-01-07 13:16,Floor Plan Measurer: AS-BUILT Drawings $50/hr (NY),https://newyork.craigslist.org/mnh/egr/d/new-york-city-floor-plan-measurer-as/7051593870.html
2020-01-07 12:29,Senior Architect | Restaurant Architecture Firm,https://newyork.craigslist.org/mnh/egr/d/new-york-senior-architect-restaurant/7051552373.html
2020-01-07 12:07,Construction Estimator,https://newyork.craigslist.org/que/egr/d/flushing-construction-estimator/7051532561.html
2020-01-07 11:49,Architectural Drafter,https://newyork.craigslist.org/lgi/egr/d/huntington-station-architectural-drafter/7051517894.html
2020-01-06 17:38,Intermediate Architect - Single-Family/Luxury Custom Homes,https://newyork.craigslist.org/mnh/egr/d/new-york-intermediate-architect-single/7051134047.html
2020-01-06 16:15,Draftsman SolidWorks Programming CAD/CAM,https://newyork.craigslist.org/brx/egr/d/bronx-draftsman-solidworks-programming/7051072493.html
2020-01-06 15:57,Senior Drafter/Job Captain,https://newyork.craigslist.org/mnh/egr/d/new-york-senior-drafter-job-captain/7051059147.html
2020-01-06 15:47,Project Manager for Carpeting and Custom Area Rugs Showroom,https://newyork.craigslist.org/mnh/egr/d/project-manager-for-carpeting-and/7051051275.html
2020-01-06 15:00,Architect 3-10 years' Experience,https://newyork.craigslist.org/mnh/egr/d/new-york-architect-3-10-years-experience/7051014069.html
2020-01-06 14:21,Experienced Kitchen & Bath Designer Wanted,https://newyork.craigslist.org/mnh/egr/d/experienced-kitchen-bath-designer-wanted/7050980899.html
2020-01-06 13:19,Construction Estimator Required,https://newyork.craigslist.org/brx/egr/d/bronx-construction-estimator-required/7050926280.html
